Vulnerabilities Structured Review,Category,Description
Access Malicious Link,Peopleware,"Users may click or interact with links designed to deceive or exploit them. Malicious links can be delivered through various channels, including email, social media, messaging platforms, or compromised websites."
Broken Authentication,Application,"The process of confirming the identity or veracity of an object is known as authentication. With many IoT devices in smart environments lacking strong authentication mechanisms or access control, it becomes easy for attackers to impersonate a legitimate user and use credentials or any other information that grants them access to exploit and discover security vulnerabilities in web applications."
Buffer Overflow,Application,"Buffer overflow occurs when a program or process attempts to write more data into a fixed-length block of memory, or buffer, than the buffer was designed to hold."
Centralized architecture,Network,"Architecture design that centralizes control and decision-making at a single central point. This means that all information from IoT devices is sent to this central point, where it is processed and actions are taken. Devices connected to the IoT transmit processing requests and data information from their sensors directly back to the data center, where information processing and storage are performed by servers running specific applications via switches."
Channel Interference,Network,"Susceptibility of IoT devices to electromagnetic or signal interference in their communication channels. These interferences can occur in various forms and may compromise the integrity and reliability of communications between IoT devices. Jamming attacks are availability attacks against the wireless medium or outward-facing sensors, where an interference device can be used to block the device's sensors from receiving signals."
Channel Voice,Device,"Associated with security and privacy when IoT devices incorporate voice capabilities, such as voice-activated personal assistants, smart home control systems, or voice communication devices. In smart homes, this information can now be easily picked up by exploiting poorly protected IoT devices with integrated microphone systems, such as personal assistant services (e.g., Google Home, Amazon Echo), children's toys, and other voice-controlled appliances. These systems are vulnerable to attacks such as voice intrusion and voice masking."
Communication Overhead,Network,"A situation in which the quantity of data packets transmitted between IoT devices and processing or storage systems exceeds the capacity of the network or servers, resulting in degraded performance, increased latency, or even system unavailability."
Configure network repeatedly,Network,"A security vulnerability that arises when network configurations are frequently applied or modified, potentially leaving the network exposed to unauthorized access, incorrect configurations, or other security risks."
Data Inconsistency,Application,"In IoT, attacks on the integrity of collected, processed, and stored data subject the associated management systems to errors or discrepancies, resulting in inaccurate, incomplete, or contradictory information."
Data Leak or Breach,Network,"It refers to the leakage or breach of data in IoT networks through security vulnerabilities that allow unauthorized access, disclosure, or loss of confidential data transmitted or stored in IoT networks."
Default Configuration,Device,"Often, default settings assigned by device manufacturers benefit the company rather than their users. Manufacturers frequently add or enable features that are not essential for the device's operation, which aids attackers in launching their attacks. These settings should be checked and changed immediately after purchasing and setting up the device. Default login settings of IoT devices can be exploited by attackers to gain unauthorized access to the device or to reset the password."
Device Spoofing,Device,"Device spoofing refers to a technique in which an attacker disguises their device to appear as a legitimate or trusted device on a network or system. The goal is to deceive network administrators, security systems, or other devices into granting unauthorized access or privileges to the attacker. The attacker typically manipulates or falsifies identification information, such as MAC addresses, IP addresses, or device identifiers, to mask their device as another trusted device."
Eavesdropping,Network,"Interception and monitoring of communications between IoT devices and management systems, without the knowledge or consent of legitimate users. This can occur at various points in device communication, primarily during wireless data transmissions. Since IoT devices transmit information wirelessly, it's easier to intercept the transmitted signals, even if the IoT devices are physically secured."
Electromagnetic Emanations Leaking,Device,Electromagnetic Emanation resulting from information processing within devices. Information collection is based on observing the electromagnetic fields of IoT devices. An example here would be electromagnetic emissions leaking from unfiltered power lines. There are demonstrations of the feasibility of measuring the power line activity of a house with such precision that they could identify what the occupants were watching on television.
Energy Restraints,Device,"Smart devices, such as IoT sensors, in a cloud-based IoT big data environment can fail due to power issues. IoT devices are limited in their power consumption capacity, which can negatively affect their performance, functionality, or availability."
Fake/Malicious Node,Network,The attacker inserts a rogue node between two legitimate nodes in the network to control the flow of data between them. A malicious node could be connected to the IoT system to collect and exchange data from other devices.
Heterogeneous Communication,Network,"This refers to the exchange of data and information between devices and systems that use different communication protocols, standards, or technologies within the network."
Heterogeneous Interaction,Device,"The vulnerability based on the heterogeneity of interconnected IoT devices refers to the exploitation of security flaws arising from the diversity of IoT devices present in a connected environment. This heterogeneity encompasses differences in terms of hardware, software, communication protocols, and configurations among IoT devices."
Identifying the Product Vendor,Peopleware,"Identification and exposure of information about the manufacturer or supplier of IoT devices, which can be exploited by adversaries for malicious purposes."
Insecure Access Management,Application,"Access control is necessary to prevent unauthorized entities from gaining access to system resources and to ensure that authorized entities can only access resources to which they have permission. Therefore, reliable access control policies play an important role in preventing activities that lead to security breaches in IoT."
